( B03___13_Luke________ESSWYIN1DA_00001 "Tamaani pilleghni ilangi yuget tamaanteftut, ungipaatkaat Jesus Pilate-mun tuqutesimaniluki ilangi Galilee-eghmiit aghqerraaghumaluki Kiyaghneghmun." )
( B03___13_Luke________ESSWYIN1DA_00002 "Aawitlu akumutesimaniluki aawitnun teghikusat." )
( B03___13_Luke________ESSWYIN1DA_00003 "Jesus-em aaptekii, “Sumeghpesinii taakut Galilee-ghmiit seghleghqengngaaghataghaghpetaat ilangitneng Galilee-ghmiineng qayughllak tawaten tuqutkaalghiit?" )
( B03___13_Luke________ESSWYIN1DA_00004 "Ungipaatamsi, nakaa!" )
( B03___13_Luke________ESSWYIN1DA_00005 "Avuteghqellusi seghleghqennaniimakufsi taawa qamagllusi elpesillu tuqullequsi ellngistun." )
( B03___13_Luke________ESSWYIN1DA_00006 "Neqamikenghistekii Siloam-emi qula pingayuneng inglulek yuget tower-em ulleghvikluki tuququqii?" )
( B03___13_Luke________ESSWYIN1DA_00007 "Sumeghpesinii taakut seghleghqengngaaghataghaghtaat Jerusalem-emi kiyaghlleghhiineng?" )
( B03___13_Luke________ESSWYIN1DA_00008 "Ungipaatamsi, nakaa!" )
( B03___13_Luke________ESSWYIN1DA_00009 "Avuteghqellusi seghleghqennaniimakufsi taawa qamagllusi elpesillu tuqullequsi ellngistun.” Taagken Jesus-em ungipaghaatkii, “Yugem piitesighaghtestekaa figs-em uqfiga grapes-mun piitesighaghvigmini." )
( B03___13_Luke________ESSWYIN1DA_00010 "Esghaghyaghtughaqegkanga piitestimanayukan, iwernga avangitaqelghii." )
( B03___13_Luke________ESSWYIN1DA_00011 "Enkaam piitesighaghteni pikaa, ‘Ii-i, pingayuni ayumiqulleghni esghaghyaghtughaqsaghaqa uqfik piitestimanayukan iwernga avangitaquq." )
( B03___13_Luke________ESSWYIN1DA_00012 "Kepigu!" )
( B03___13_Luke________ESSWYIN1DA_00013 "Piitfigillghaannaquq.’ Iwernga piitesighaghtem pikaa, ‘Yuguniiq, wiin whani ayumiqulleghmi avelghaghhu." )
( B03___13_Luke________ESSWYIN1DA_00014 "Uvitanga laagnaqaqa, enkaam katagughvikelleqaqa piinnaasimeng." )
( B03___13_Luke________ESSWYIN1DA_00015 "Ayumiqun piitquumakumi pinighllequq, enan piitestinghilkan, kepesnaken.’” Taagken ataasimi Sabbath-em aghneghani, synagogue-mi Jesus apeghtughikaq." )
( B03___13_Luke________ESSWYIN1DA_00016 "Tawanteftughnguq aghnaq qula pingayuneng inglulek ayumiqulleghni tughneghaam kayaaleghqegkaa." )
( B03___13_Luke________ESSWYIN1DA_00017 "Pakegngastekaa enkaam taklaghruketun nekevigalnguq." )
( B03___13_Luke________ESSWYIN1DA_00018 "Jesus-em esghaghyamigu tagsighluku pikaa, “Aghnaq, itemutamken kayaaleghqengngalleghpeneng.” Taagken saaftekaa, enkaam taklaghrukguutnginaamaghmi pikaq, usuqikaqlu Kiyaghneghmeng." )
( B03___13_Luke________ESSWYIN1DA_00019 "Synagogue-em igleghutistengan ugumiyagutkaa Jesus qayughllak naallghutilghii Sabbath-mi." )
( B03___13_Luke________ESSWYIN1DA_00020 "Enkaam pikii yuget, “Aghvinleguut aghneghet qepghaghvigkaput, enkaam tagiiqitek taakuni aghneghni naallghutesqellusi, nakaan Sabbath-mi!” Atanghem pikaa, “Uyuq piniiyugneq!" )
( B03___13_Luke________ESSWYIN1DA_00021 "Sabbath-mi, tamaghaghpesi ox-esi nalighmeng donkey-si itemulluki meghesaghtughaqasi." )
( B03___13_Luke________ESSWYIN1DA_00022 "Una aghnaq kingunqaa Abraham-em, Tughneghaam asighqegkaqaa qula pingayuneng inglulegni ayumiqulleghni." )
( B03___13_Luke________ESSWYIN1DA_00023 "Ipapestaaq anaggutellghunghituq itemutelleghqaa Sabbath-mi!” Jesus-em tawaten piyisteng, qamaglluteng anguyagi kaynguyugutkat." )
( B03___13_Luke________ESSWYIN1DA_00024 "Enkaam qamaglluteng yuget quyateghllakat pinighrakegtaneng apeghiiqaaneng." )
( B03___13_Luke________ESSWYIN1DA_00025 "Taagken Jesus-em aaptekii, “Nateta Kiyaghneghem Ataneghpagullgha?" )
( B03___13_Luke________ESSWYIN1DA_00026 "Samun inglunnaqsikun?" )
( B03___13_Luke________ESSWYIN1DA_00027 "Mustard-em piitutangatun ayuquq, yugem tuguluku piitesighaqanga piitesighaghvigmikun." )
( B03___13_Luke________ESSWYIN1DA_00028 "Naguyalghiimi uqfigughtekaq, enkaam avayaakun qawaaget unglusikat.” Allameng Jesus-em aaptekii, “Samun inglunnaqsikun Ataneghpagullgha Kiyaghneghem?" )
( B03___13_Luke________ESSWYIN1DA_00029 "Yeast-atun ayuquq aghnam akuututaqegkanga avlawaghllagmun, enkaam akuutaghllak ghhuughtesteghllakaa.” Jesus aglaatkelluku Jerusalem-emun, apeghtughimaghmi pikaq nenillu, nengiighhaghnillu." )
( B03___13_Luke________ESSWYIN1DA_00030 "Kitum aaptekaa, “Ataneq, palasqughhaawaat yuget yuguliyaghqat?” Jesus-em kiimsiqii, “Sagiqlusi iteghnaqutkitek kagpestaaghhaghqun amigkun." )
