( B09___05_Galatians___ESSWYIN1DA_00001 "Christ-am whangkuta itemutkaqutanganeng, itemepiigumaakut." )
( B09___05_Galatians___ESSWYIN1DA_00002 "Enkaangam nekevghatek aghuliilkaalusi, qepghaghtelaaghughhneqigtegpenasi Liilightuusanun." )
( B09___05_Galatians___ESSWYIN1DA_00003 "Nagatek!" )
( B09___05_Galatians___ESSWYIN1DA_00004 "Whanga, Paul, ungipaatamsi:" )
( B09___05_Galatians___ESSWYIN1DA_00005 "circumcise-estekufsi Liilightuusam pisqellghatun, taawa Christ-am apeghiiqaa kayutkennaanghitaghsi." )
( B09___05_Galatians___ESSWYIN1DA_00006 "Alla kelengasaaghaqa tamaghhaan yuuk, circumcise-estekumi taawa qaatkengngwaaghyaghqaqii qamaglluki Liilightuusat." )
( B09___05_Galatians___ESSWYIN1DA_00007 "Liilightuusatgun nallghusaghtesnaqutkegkufsi Kiyaghneghem elqughutngallghanun, aaflequsi elpesineng Christ-ameng, unilleqaghsillu Kiyaghneghem nangllegtallgha." )
( B09___05_Galatians___ESSWYIN1DA_00008 "Agleghnalghiignekun Taghneghagnekun utaqangwaaghput sighimalleghput apeghiighesqelluku." )
( B09___05_Galatians___ESSWYIN1DA_00009 "Sighimalleghput taananguuq:" )
( B09___05_Galatians___ESSWYIN1DA_00010 "Kiyaghneghmun nallghusiisqelluta elqughutngallghanun ugpeqellemteggun Christ-a." )
( B09___05_Galatians___ESSWYIN1DA_00011 "Christ Jesus-em pikngukanginkut, yuuk megnunanghituq circumcise-ekaakumi nalighmeng circumcise-ellghilkumi." )
( B09___05_Galatians___ESSWYIN1DA_00012 "Una esgha megnunalghii, ugpeqilleq Christ-akun piniqistilghii yulgutemnneng." )
( B09___05_Galatians___ESSWYIN1DA_00013 "Sivunghani pinitungwaaq pinguyaghtusi." )
( B09___05_Galatians___ESSWYIN1DA_00014 "Kitum qaatkunnanightestisi ipapighqelleghmun?" )
( B09___05_Galatians___ESSWYIN1DA_00015 "Kiyaghneghem tuqlughistegpesi pilqenghitaa." )
( B09___05_Galatians___ESSWYIN1DA_00016 "Neqamikluku, “Yeast-angiighhaam ghhuughtesteghllagaqaa akuutaq.” Elpesillu whangallu pikutanganeng Atanghem, nalluneqsukenghitanka ugpeqnanifqiita apeghtuusanka elpesinun pisqelluki." )
( B09___05_Galatians___ESSWYIN1DA_00017 "Liisimakaqallu Kiyaghneghem aghyuughlleqaa seghleliighqilghii elpesineng, kinanguyaghngaan." )
( B09___05_Galatians___ESSWYIN1DA_00018 "Ugpeqaalgutemni, ungipaqingigatunga yuget circumcise-esqelluki." )
( B09___05_Galatians___ESSWYIN1DA_00019 "Tawaten ungipaqinguyaquma Jews-et amyuqetaatkennanighnayaghaatnga enkaam qaquuraa Christ-am sugagniighutkennayanghitaat." )
( B09___05_Galatians___ESSWYIN1DA_00020 "Tamaakut seghleliighqilghiit elpesineng circumcise-elleghmeng, ellngistuq circumcise-estengnguluteng eunuch-englallghiit ellmeggneng." )
( B09___05_Galatians___ESSWYIN1DA_00021 "Ugpeqaalgutemni, Kiyaghneghem tagsiqaqiisi itemngalleghmun Christ-akun." )
( B09___05_Galatians___ESSWYIN1DA_00022 "Taawanginaq atuqegpenaan itemngalleghsi atughyaghqaaluki seghleghqengngalghiit piyukellghi yugusim." )
( B09___05_Galatians___ESSWYIN1DA_00023 "Itupill qepghaateki ilasi piniqelleghpesigun." )
( B09___05_Galatians___ESSWYIN1DA_00024 "Qayughllak qaatkelleqasi qamaglluki Liilightuusat qaatkegkufsigu una Liilightuusaq:" )
( B09___05_Galatians___ESSWYIN1DA_00025 "“Piniqluku yulguten piniqelleghpetun elpeneng katam.” Iwernga elpesineng qaniqunnaqngukufsillu pillugunnaqngukufsillu ugighsalghiistun teghikusastun, kelengatek, qayughllak naafqutunnaqusi." )
( B09___05_Galatians___ESSWYIN1DA_00026 "Whaten piimsi, kiyaghtek qaatkellukek Agleghnalghiik Taghneghak." )
( B09___05_Galatians___ESSWYIN1DA_00027 "Tawaten pikufsi atuqnaanghitasi seghleghqengngalghiit piyukellghi yugusim." )
( B09___05_Galatians___ESSWYIN1DA_00028 "Qayughllak seghleghqengngalghiit piyukellghi yugusim kipullegngaat Taghneghagnun, piyukellghi Taghnegham kipullegngaat piyukellghanun yugusim." )
( B09___05_Galatians___ESSWYIN1DA_00029 "Taakuk anguyakutuk enkaam atuqnaanghitasi piyukellesi." )
( B09___05_Galatians___ESSWYIN1DA_00030 "Taghnegham maghyaghquungukangisi taawa Liilightuusat atuqsaghqaananighasi." )
( B09___05_Galatians___ESSWYIN1DA_00031 "Yugusim seghleghqelleghtuqam piyukellghi nalluniitut." )
( B09___05_Galatians___ESSWYIN1DA_00032 "Ukunguut:" )
