( B08___04_2CorinthiansESSWYIN1DA_00001 "Enkaam Kiyaghneghem nangllegtalleghmikun qepghaqalitiinkut whaken qepghaghyaghqameng." )
( B08___04_2CorinthiansESSWYIN1DA_00002 "Tamaaken apalluqluku iilqayugigatukut." )
( B08___04_2CorinthiansESSWYIN1DA_00003 "Ighsayagutkaqaput aksaqegkatlu kayngunalghiitlu." )
( B08___04_2CorinthiansESSWYIN1DA_00004 "Puughsigataput yuget, allangughsigataputlu Kiyaghneghem akuzitangi." )
( B08___04_2CorinthiansESSWYIN1DA_00005 "Whateghlluwaaqlu apeghtuusaqaqaput Kiyaghneghem ipapillghi, enkaangam yuget liilleqiinkut natelnguutfut esghaamanghani Kiyaghneghem." )
( B08___04_2CorinthiansESSWYIN1DA_00006 "Ungipaqegkaput Pinilghiit Ungipat saapngakata, saapngaat iflayaghqaghhiinaghnun." )
( B08___04_2CorinthiansESSWYIN1DA_00007 "Ellngita ugpeqigataat ungipaghput qayughllak Tughneghaam, uum nunam kiyaghneghan, ayaastekaqii umyugiit." )
( B08___04_2CorinthiansESSWYIN1DA_00008 "Esghanghitestaqaa nighuga Pinilghiim Ungipam nighughqellghaneng Christ-am ayuqelghii." )
( B08___04_2CorinthiansESSWYIN1DA_00009 "Christ-a Kiyaghneghtun ayuquq." )
( B08___04_2CorinthiansESSWYIN1DA_00010 "Whangkunneng katam ungipaqngunghitukut, itupill ungipaqngwaaghput Jesus Christ-a Atanghuniluku." )
( B08___04_2CorinthiansESSWYIN1DA_00011 "Qepghaghtekaghpesikut Jesus apalluqluku." )
( B08___04_2CorinthiansESSWYIN1DA_00012 "Kiyaghneghuuq whaten pikaq, “Yeqay nighuk kuukgulli mamlelleghmeng!” Ellnganguuq ataasiq Kiyaghneq kuukgutestilghii nighugmeng ilumnnun." )
( B08___04_2CorinthiansESSWYIN1DA_00013 "Taaggun nighugkun liitaghput nighughqellgha Kiyaghneghem, kuukgullghii Jesus Christ-am gginaaneng." )
( B08___04_2CorinthiansESSWYIN1DA_00014 "Iwernga whangkunnun Kiyaghneghem kanaghtekaqaa taana nighuk kuukgutesqelluku ilumnni." )
( B08___04_2CorinthiansESSWYIN1DA_00015 "Whangkuta qikustun qantaghqastun ayuqukut, enkaam tamangan liigikelleqaat aghtughyaghqaanghiteghllak Kiyaghneghtaaniluku, whangkunneng pingunghinniluku." )
( B08___04_2CorinthiansESSWYIN1DA_00016 "Seghleliillengaqukut allaaghhiinatun iwernga kayaalqigatiinkut." )
( B08___04_2CorinthiansESSWYIN1DA_00017 "Ilangakun kukragyullengaqukut iwernga sighimallghiisigatukut." )
( B08___04_2CorinthiansESSWYIN1DA_00018 "Amyuqetaatkellengaqukut, iwernga Kiyaghneghem unisigatiinkut;" )
( B08___04_2CorinthiansESSWYIN1DA_00019 "aqnighqwaallengaqukut, iwernga tuqungigatukut." )
( B08___04_2CorinthiansESSWYIN1DA_00020 "Iiwleng tuqullgha Jesus-em yugusimnnituq, esghiisqelluku unguvallgha Jesus-em yugusimnni." )
( B08___04_2CorinthiansESSWYIN1DA_00021 "Unguvanguluta iiwleng yakughnallghanitukut tuqullghem apalluqluku Jesus, esghiisqelluku Jesus-em unguvallgha yugusimnni tuqukayugni." )
( B08___04_2CorinthiansESSWYIN1DA_00022 "Enkaam whangkuta yakughnallghanitukut tuqullghem qayughllak qepghaatngukefut Kiyaghneq." )
( B08___04_2CorinthiansESSWYIN1DA_00023 "Iwernga qepghallemta kenlengilngughmeng unguvallengestengngwiisi." )
( B08___04_2CorinthiansESSWYIN1DA_00024 "Igaqngaaq Akuzitni Igaqegkani, “Ugpeqaqa Kiyaghneq enkaam akuzitkaqaqa.” Ugpeqilleghput tawatetuq igaqestetun." )
( B08___04_2CorinthiansESSWYIN1DA_00025 "Whangkutallu ugpeqaghput Kiyaghneq enkaam akuzitkaqaghput." )
( B08___04_2CorinthiansESSWYIN1DA_00026 "Liisimakaghput Kiyaghneghem unguvaghtekaqaa Ataneq Jesus." )
( B08___04_2CorinthiansESSWYIN1DA_00027 "Whangkutallu unguvaghlleqiinkut Jesus-kun." )
( B08___04_2CorinthiansESSWYIN1DA_00028 "Taagken aglaalleqiinkut qerngaamta elpesillu tawantelleghminun." )
( B08___04_2CorinthiansESSWYIN1DA_00029 "Qamaglluteng tamaakut apeghiiqat whangkunnun elpesinun ayuqut." )
